评论ID,商品类别,情感倾向（0=负面，1=正面）,具体痛点（正面评论填“无”）,id_num,Unnamed: 0,index,text,sentiment,confidence,pain_points,summary_zh,ai_sentiment_mapped,gold_sentiment
R0016,酒店,0,环境一般、服务态度不热情,16,15,15,酒店环境一般，服务有待进一步提高，态度不热情，，距离机场近，去机场方便...,neutral,0.7,"服务态度不热情,环境一般",酒店环境一般，服务态度有待提高，但距离机场近，交通便利。,1,0
R0028,蒙牛,0,品牌信任度低,28,27,27,什么三鹿蒙牛的都太可怕了 还是从小儿喝的北京自己的三元最靠谱儿...,positive,0.9,,用户表达了对三元品牌的信任和偏好，认为其比三鹿和蒙牛更可靠。,1,0
R0037,蒙牛,0,广告宣传与实物不符、品牌信任度降低,37,36,36,今天下午商业中心看到这只绿色的蒙牛我就像发现新大陆一样大喊大叫 完了之后身边那些派传单的帅锅告诉我这...,neutral,0.6,,用户误将绿色动物认作蒙牛，表达困惑和坚持，但未涉及商品或服务的具体评价。,1,0
R0057,书籍,0,个人未坚持阅读（非商品本身问题，情感倾向为0）,57,56,56,"其实挺喜欢的,就是没有坚持看下去,这可能是很多外语不好的人的通病吧...",neutral,0.7,,用户表示喜欢商品，但未坚持使用，可能与外语能力有关。,1,0
R0103,衣服,0,线头过多,103,102,102,还能凑活。线头太多...,neutral,0.7,线头太多,用户表示商品勉强可用，但指出线头过多，质量有待改进。,1,0
R0115,平板,0,使用体验不佳（无具体明细）,115,114,114,外观可以，不怎么好用，清晰...,neutral,0.6,不好用,用户认为产品外观不错，但使用体验不佳，清晰度方面可能存在问题。,1,0
R0118,热水器,0,不清楚安装方式、找不到安装人员,118,117,117,怎么安装，找谁安装呢？...,neutral,0.6,,用户询问商品安装方法和安装服务提供方，未表达明确情感。,1,0
R0127,衣服,0,尺码偏大（非严重质量问题，情感倾向为0）,127,126,126,有点大了，不过也不错...,neutral,0.6,尺寸偏大,用户认为商品尺寸偏大，但整体评价尚可。,1,0
R0139,计算机,0,赠品缺货、需放弃赠品才能按时提货,139,138,138,17号下的单20号因为急用（朋友生日）所以放弃了赠品杀毒软件，不然提不到货，听说是赠品缺货。...,neutral,0.7,赠品缺货,用户因急用放弃赠品以提货，提及赠品缺货问题。,1,0
R0144,蒙牛,0,品牌态度不佳（无具体明细）,144,143,143,蒙牛笑而不语...,neutral,0.5,,用户评论内容为“蒙牛笑而不语”，情感不明确，无具体商品或服务评价。,1,0
R0151,洗发水,1,无,151,150,150,京东送货就是快 快递小哥赞? 跟我在商场买的对比了一下 只是页面和瓶上都写的是750ml 实际就是7...,negative,0.8,尺寸不符,用户称赞京东物流快速和快递员服务好，但指出商品页面和瓶身标注750ml，实际只有700ml，存在尺寸不符的问题。,0,1
R0162,酒店,0,大巴司机服务态度差,162,161,161,"靠近浦东机场,有免费大巴,就是大巴司机态度让人不爽....",neutral,0.7,司机态度差,评论提到靠近浦东机场和免费大巴服务是优点，但大巴司机态度不佳。,1,0
R0171,计算机,0,系统为V系统、标配内存不足、商家定价策略争议,171,170,170,"装的是V系统,标配了1G内存,当然不够用了,于是要加内存,心里呼:奸商啊,哈哈....",neutral,0.6,内存不足,用户评论指出标配1G内存不够用，需要额外加内存，并调侃商家为奸商，整体情感偏向中性。,1,0
R0184,书籍,0,孩子不喜欢（非商品本身质量问题，情感倾向为0）,184,183,183,孩子2岁半，不喜欢，可能大一点会好些...,neutral,0.6,,用户表示孩子不喜欢该商品，但认为可能适合更大年龄的孩子。,1,0
R0194,热水器,0,二次加热速度慢（整体体验一般，情感倾向为0）,194,193,193,第一次烧的很快，第二次就开始慢了，总体还不错...,positive,0.7,,用户反映产品第一次使用速度快，第二次变慢，但总体评价不错。,1,0
